cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
240,160,0,160,4,1076.75,748.25,3,33.4
160,240,0,160,2.4,1073.8,746.2,3,26
240,160,0,200,0,1014.8,705.2,3,17.4
160,240,0,200,0,1008.9,701.1,3,14.4
270,180,0,135,9,1085.6,754.4000000000001,3,49.8
180,270,0,135,8.1,1079.7,750.3,3,36.8
270,180,0,180,2.25,1020.6999999999999,709.3000000000001,3,35.9
180,270,0,180,1.35,1014.8,705.2,3,26.9
270,180,0,225,0,949.9,660.1,3,16.7
180,270,0,225,0,944,656,3,13
210,140,0,105,8.75,1188.85,826.1500000000001,7,64.2
140,210,0,105,7,1185.8999999999999,824.1000000000001,7,57.3
210,140,0,140,3.5,1135.75,789.25,7,49.1
140,210,0,140,1.75,1129.85,785.1500000000001,7,46.9
210,140,0,175,0,1079.7,750.3,7,36.9
140,210,0,175,0,1070.85,744.1500000000001,7,28.7
240,160,0,120,9.6,1141.6499999999999,793.3500000000001,7,64.5
160,240,0,120,6,1135.75,789.25,7,58.3
240,160,0,160,4,1076.75,748.25,7,50.6
160,240,0,160,2.4,1073.8,746.2,7,45.6
240,160,0,200,0,1014.8,705.2,7,28.6
160,240,0,200,0,1008.9,701.1,7,23.8
270,180,0,135,9,1085.6,754.4000000000001,7,66.4
180,270,0,135,8.1,1079.7,750.3,7,63.2
270,180,0,180,2.25,1020.6999999999999,709.3000000000001,7,56.3
180,270,0,180,1.35,1014.8,705.2,7,38.6
270,180,0,225,0,949.9,660.1,7,28.3
180,270,0,225,0,944,656,7,20.8
210,140,0,105,8.75,1188.85,826.1500000000001,28,81
140,210,0,105,7,1185.8999999999999,824.1000000000001,28,73.3
210,140,0,140,3.5,1135.75,789.25,28,67.2
140,210,0,140,1.75,1129.85,785.1500000000001,28,61.8
210,140,0,175,0,1079.7,750.3,28,55.9
140,210,0,175,0,1070.85,744.1500000000001,28,45.1
240,160,0,120,9.6,1141.6499999999999,793.3500000000001,28,82
160,240,0,120,6,1135.75,789.25,28,77.8
240,160,0,160,4,1076.75,748.25,28,66.9
160,240,0,160,2.4,1073.8,746.2,28,61.1
240,160,0,200,0,1014.8,705.2,28,51.6
160,240,0,200,0,1008.9,701.1,28,40.1
270,180,0,135,9,1085.6,754.4000000000001,28,83.8
180,270,0,135,8.1,1079.7,750.3,28,80.6
270,180,0,180,2.25,1020.6999999999999,709.3000000000001,28,66.4
180,270,0,180,1.35,1014.8,705.2,28,61.8
270,180,0,225,0,949.9,660.1,28,49.3
180,270,0,225,0,944,656,28,39.5
210,140,0,105,8.75,1188.85,826.1500000000001,91,87.8
140,210,0,105,7,1185.8999999999999,824.1000000000001,91,81.2
210,140,0,140,3.5,1135.75,789.25,91,76.3
140,210,0,140,1.75,1129.85,785.1500000000001,91,74
210,140,0,175,0,1079.7,750.3,91,65.9
140,210,0,175,0,1070.85,744.1500000000001,91,58.3
240,160,0,120,9.6,1141.6499999999999,793.3500000000001,91,88.3
160,240,0,120,6,1135.75,789.25,91,79
240,160,0,160,4,1076.75,748.25,91,77.9
160,240,0,160,2.4,1073.8,746.2,91,75.1
240,160,0,200,0,1014.8,705.2,91,57.9
160,240,0,200,0,1008.9,701.1,91,49.6
270,180,0,135,9,1085.6,754.4000000000001,91,91.4
180,270,0,135,8.1,1079.7,750.3,91,92.5
270,180,0,180,2.25,1020.6999999999999,709.3000000000001,91,81
180,270,0,180,1.35,1014.8,705.2,91,73.4
270,180,0,225,0,949.9,660.1,91,53.4
180,270,0,225,0,944,656,91,49.1
308,0,132,167,8.8,1232,621,28,48
308,0,132,167,8.8,1232,621,90,55
220,0,220,167,8.8,1177,647,28,34
318.5,86.8,130.3,129.4,20.6,888.2,868.5,3,37.14
318.5,86.8,130.3,129.4,20.6,888.2,868.5,7,52.19
318.5,86.8,130.3,129.4,20.6,888.2,868.5,28,59.94
318.5,86.8,130.3,129.4,20.6,888.2,868.5,56,64.61
318.5,86.8,130.3,129.4,20.6,888.2,868.5,91,69.87
318.5,86.8,130.3,134,16,888.2,868.5,3,29.2
318.5,86.8,130.3,134,16,888.2,868.5,7,41.69
318.5,86.8,130.3,134,16,888.2,868.5,28,60.83
318.5,86.8,130.3,134,16,888.2,868.5,56,66.34
318.5,86.8,130.3,134,16,888.2,868.5,91,71.86
318.5,86.8,130.3,127,23,888.2,868.5,3,24.53
318.5,86.8,130.3,127,23,888.2,868.5,7,59.94
318.5,86.8,130.3,127,23,888.2,868.5,28,68.27
318.5,86.8,130.3,127,23,888.2,868.5,56,73.39
318.5,86.8,130.3,127,23,888.2,868.5,91,83.12
244.6,89.7,134.5,130,20,916.9,896.6,3,28.24
244.6,89.7,134.5,130,20,916.9,896.6,7,40.6
244.6,89.7,134.5,130,20,916.9,896.6,28,53.5
244.6,89.7,134.5,130,20,916.9,896.6,56,57.25
